product_test_dtl_id,test_parameter_name,test_code,standard_value_type,standard_value_from,standard_value_to
131348,HARDNESS IN KG/CM²,AMLODIPINE-TABLET-(LA-CHEMICO)-IP-12823,na,NULL,NLT 2.0 KG/CM²
131350,<p>UNIFORMITY OF WEIGHT</p>,AMLODIPINE-TABLET-(LA-CHEMICO)-IP-12823,na,NULL,± 7.5%
131459,AVERAGE WEIGHT OF 20 CAPSULES,AMOXI-500-CAPSULE-(KWALITY)-BP-12834,na,NULL,691 MG ± 7.5%
131475,1-TOTAL AEROBIC MICROBIAL COUNT,AMOXI-500-ORAL-SUSPENSION-(KWALITY)-USP-12835,alphanumeric,NMT,10°CFU/GM
131476,2-TEST FOR SPECIFIED MICROORGANISMS,AMOXI-500-ORAL-SUSPENSION-(KWALITY)-USP-12835,alphanumeric,NMT,10°CFU/GM
131467,AVERAGE WEIGHT OF 5 CONTAINERS,AMOXI-500-ORAL-SUSPENSION-(KWALITY)-USP-12835,na,NULL,24.0 GM ± 10%
131511,AMOXICILLIN,AMOXICILLIN-TRIHYDRATE-USP-12838,alphanumeric,900, 1015 µg/mg (ON ANHYDROUS BASIS)
131603,AVERAGE WEIGHT OF 10 CONTAINERS,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-INJECTION-(KWALITY)-IP-12846,na,NULL,1.440 GM  ± 10%
131674,AVERAGE VOLUME OF 5 CONTAINERS,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-ORAL-SUSPENSION-(KWALITY)-IP-12852,na,NULL,3.3 GM  ±10%
131753,LENGTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-250+125)-IP-12859,na,NULL,17.20 MM ±0.2MM
131755,THICKNESS,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-250+125)-IP-12859,na,NULL,5.10 MM ±0.3 MM
131754,WIDTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-250+125)-IP-12859,na,NULL,8.60 MM ±0.2 MM
131769,LENGTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-500+125)-IP-12860,na,NULL,19.80 MM ±0.2MM
131771,THICKNESS,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-500+125)-IP-12860,na,NULL,6.25 MM ±0.3MM
131770,WIDTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-500+125)-IP-12860,na,NULL,9.30 MM ±0.2MM
131786,LENGTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-875+125)-IP-12861,na,NULL,21.50 MM ±0.2MM
131788,THICKNESS,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-875+125)-IP-12861,na,NULL,7.0 MM ±0.3 MM
131787,WIDTH,AMOXYCILLIN-&-POTASSIUM-CLAVULANATE-TABLET-(THEON-875+125)-IP-12861,na,NULL,10.50 MM ±0.2MM
131928,HARDNESS,AMOXYCILLIN-DISPERSIBLE-TABLET-(KWALITY)-IP-12874,alphanumeric,NLT,6.0 KG/CM²
131971,AVERAGE VOLUME OF 5 CONTAINERS,AMOXYCILLIN-ORAL-SUSPENSION-(KWALITY)-IP-12880,na,NULL,16.67 GM ± 10%
132017,<p>SPECIFIC OPTICAL ROTATION</p>,AMOXYCILLIN-SODIUM-(SARV)-IP-12884,alphanumeric,+240°, +290°
132027,<p>SPECIFIC OPTICAL ROTATION</p>,AMOXYCILLIN-SODIUM-INJECTION-IP-12885,alphanumeric,+240°, +290°
131991,<p>SPECIFIC OPTICAL ROTATION</p>,AMOXYCILLIN-SODIUM-IP-12882,alphanumeric,+240°, +290°
132067,<p>SPECIFIC OPTICAL ROTATION</p>,AMOXYCILLIN-TRIHYDRATE-BP-12888,alphanumeric,+290°, 315°
132052,<p>SPECIFIC OPTICAL ROTATION</p>,AMOXYCILLIN-TRIHYDRATE-IP-12887,alphanumeric,+290°, +315°
132084,UNIFORMITY WEIGHT OF CAPSULE CONTENT,AMPCLOX-CAPSULE-(KWALITY)-GENERAL-12890,alphanumeric,526.5, 643.5 MG (585 MG ± 10%)
132105,AVERAGE VOLUME OF 10 CONTAINERS,AMPICILLIN-&-CLOXACILLIN-INJECTION-(KWALITY)-GENERAL-12892,na,NULL,4.332 GM ± 10%
132177,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-INJECTION-(JACKSON)-IP-12897,alphanumeric,+258°, +287°
132191,AVERAGE WEIGHT OF 10 CONTAINERS,AMPICILLIN-INJECTION-(KWALITY)-IP-12898,na,NULL,536 MG ± 10%
132198,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-INJECTION-(KWALITY)-IP-12898,alphanumeric,+258°, +287°
132214,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-INJECTION-(MP)-IP-12899,alphanumeric,+258°, +287°
132235,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-INJECTION-(TAMIL)-IP-12900,alphanumeric,+258°, +287°
132159,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-INJECTION-IP-12896,alphanumeric,+258°, +287°
132263,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-SODIUM--STERILE-IP-12902,alphanumeric,+258°, +287°
132285,<p>SPECIFIC OPTICAL ROTATION</p>,AMPICILLIN-SODIUM-(GRAMPUS)-IP-12904,alphanumeric,+258°, +287°
132354,LENGTH,ANALGON-1500-BOLUS-GENERAL-12912,na,NULL,39.50 MM² 
132356,THICKNESS,ANALGON-1500-BOLUS-GENERAL-12912,na,NULL,7.8 MM ²
132355,WIDTH,ANALGON-1500-BOLUS-GENERAL-12912,na,NULL,13.0 MM ²
132585,<p>SPECIFIC OPTICAL ROTATION</p>,ARBUTIN-GENERAL-12934,alphanumeric,+171.0°, +186.0°
132680,<p>SPECIFIC OPTICAL ROTATION</p>,ARTEMETHER-IP-12945,alphanumeric,+166°, +173°
132701,<p>SPECIFIC OPTICAL ROTATION</p>,ARTESUNATE-IP-12946,alphanumeric,+4.5°, +6.5°
132760,<p>SPECIFIC OPTICAL ROTATION</p>,ASCORBIC-ACID-(VITAMIN-C)-IP-12952,alphanumeric,+20.5°, +21.5°
132739,<p>SPECIFIC OPTICAL ROTATION</p>,ASCORBIC-ACID-BP-12950,alphanumeric,+20.5°, +21.5°
132790,SPECIFIC ROTATION @25?C,ASCORBIC-ACID-ULTRAFINE-GENERAL-12956,alphanumeric,+20.5°, +21.5°
132880,CONDUCTIVITY,ASPARTAME-BP-12965,alphanumeric,NMT,NMT-30 µS-cm-¹
132864,<p>SPECIFIC OPTICAL ROTATION</p>,ASPARTAME-IP-12964,alphanumeric,+14.5°, +16.5°
132898,OPTICAL ROTATION,ASPARTAME-USP-12966,alphanumeric,+14.5°, +16.5°
132987,<p>AVERAGE WEIGHT</p>,ASPIRIN-TABLET-(KAWALITY)-IP-12975,na,NULL,110 MG ± 7.5%
132991,DISPERSION TEST,ASPIRIN-TABLET-(KAWALITY)-IP-12975,na,NULL,NO PARTICLE SHOULD BE OBSERVED AT MESH SIZE 710 ? (22 no.)
132993,HARDNESS,ASPIRIN-TABLET-(KAWALITY)-IP-12975,na,NULL,NLT 4.5 KG/CM²
132996,MICROBIAL LIMIT (TVC),ASPIRIN-TABLET-(KAWALITY)-IP-12975,na,NULL,NMT 10°CFU/GM
133561,MELTING POINT,AVOBENZONE/BMDM-GENERAL-13024,alphanumeric,81.0°C , 85°C
133679,SOFTENING (?C),AVON-MASTER-GENERAL-13026,alphanumeric,NLT,55°C
58555,Flash Point (Abel) [Cl.3.2.3],AZADIRACHTIN-0.03%-EC-FSSAI-5558,na,NULL,Above 24.5°C
58562,Flash Point (Abel) [Cl.3.2.3],AZADIRACHTIN-0.15%-EC-FSSAI-5559,na,NULL,Above 24.5°C
58569,Flash Point (Abel) [Cl.3.2.3],AZADIRACHTIN-1.0%-EC-FSSAI-5560,na,NULL,Above 24.5°C
64505,Flash Point (Abel) [Cl.3.2.3],AZADIRACHTIN-1500-PPM-(BIS)-NABL-6000,na,NULL,Above 24.5°C
133856,<p>PARTICLE SIZE</p>,AZITHROMYCIN-(HETERO)-GENERAL-13044,na,NULL,D(90)LESS THAN 20°C
133899,AZITHROMYCIN,AZITHROMYCIN-(MACLEOD-USP/IHS)-USP-13045,alphanumeric,945, 1030 µg/mg  (ON ANHYDROUS BASIS)
133931,AZITHROMYCIN,AZITHROMYCIN-DIHYDRATE-USP-13048,alphanumeric,945, 1030 µg/mg  (ON ANHYDROUS BASIS)
133820,<p>SPECIFIC OPTICAL ROTATION</p>,AZITHROMYCIN-IP-13042,alphanumeric,-45° , -49°
134031,HARDNESS IN KG/CM²,AZITHROMYCIN-TABELT-(LA-CHEMICO)-IP-13055,na,NULL,NLT 5.0 KG/CM²
134032,<p>UNIFORMITY OF WEIGHT</p>,AZITHROMYCIN-TABELT-(LA-CHEMICO)-IP-13055,na,NULL,±5% OF AVERAGE WT.
134083,BREADTH,AZITHROMYCIN-TABLET-(500-MG)-(KWALITY)-IP-13058,na,NULL,8.76 MM ±3%
134090,HARDNESS,AZITHROMYCIN-TABLET-(500-MG)-(KWALITY)-IP-13058,alphanumeric,NLT,NLT-8.0 KG/CM²
134084,HEIGHT,AZITHROMYCIN-TABLET-(500-MG)-(KWALITY)-IP-13058,na,NULL,6.14 MM ±3%
134082,LENGTH,AZITHROMYCIN-TABLET-(500-MG)-(KWALITY)-IP-13058,na,NULL,18.80 MM ±3%
134097,BREADTH,AZITHROMYCIN-TABLET-(KWALI)-USP-13059,na,NULL,7.35 MM ±3%
134105,HARDNESS,AZITHROMYCIN-TABLET-(KWALI)-USP-13059,na,NULL,NLT 2.0 KG/CM²
134098,HEIGHT,AZITHROMYCIN-TABLET-(KWALI)-USP-13059,na,NULL,7.60 MM ±3%
134096,LENGTH,AZITHROMYCIN-TABLET-(KWALI)-USP-13059,na,NULL,9.50 MM ±3%
134503,HARDNESS,BACLOFEN-TABLET-(SAMARTH)-IP-13102,alphanumeric,NLT,3.0 KG/CM²
134499,<p>UNIFORMITY OF WEIGHT VARIATION</p>,BACLOFEN-TABLET-(SAMARTH)-IP-13102,na,NULL,±7.5% OF AVG. WEIGHT
134550,A-FABRIC,"BANDAGE,-POP,-10CM²X-2.7-MT.-[5020][ESL]-BP-13107",alphanumeric,NLT,24 GM/M²
134551,B-BANDAGE,"BANDAGE,-POP,-10CM²X-2.7-MT.-[5020][ESL]-BP-13107",alphanumeric,NLT,340 GM/M²
134561,A-FABRIC,"BANDAGE,-POP,-15CM²X-2.7-MT.-[5021][ESL]-BP-13108",alphanumeric,NLT,24 GM/M²
134562,B-BANDAGE,"BANDAGE,-POP,-15CM²X-2.7-MT.-[5021][ESL]-BP-13108",alphanumeric,NLT,340 GM/M²
59484,<p>Agaric Acid (ppm)</p>,BARLEY-DALIA-FSSAI-5598,na,NULL,MAX. 10µg/Kg
59485,<p>Hydrocyanic Acid (ppm)</p>,BARLEY-DALIA-FSSAI-5598,na,NULL,MAX. 5.0 µg/Kg
59486,<p>Hypericine (ppm)</p>,BARLEY-DALIA-FSSAI-5598,na,NULL,MAX. 1.0 µg/Kg
59487,<p>Saffrole (ppm)</p>,BARLEY-DALIA-FSSAI-5598,na,NULL,MAX. 10.0 µg/Kg
134613,<p>SPECIFIC OPTICAL ROTATION</p>,BECLOMETHASONE-DIPROPIONATE-IP-13115,alphanumeric,88, +94.0°
134622,<p>SPECIFIC OPTICAL ROTATION</p>,BECLOMETHASONE-DIPROPIONATE-MONOHYDRATE-BP-13116,alphanumeric,+108°TO +115°,NULL
134725,MELTING POINT,BEESWAX-BLEACHED-GENERAL-13123,alphanumeric,62.0°C , 65.0°C
134719,MELTING POINT,BEESWAX-GENERAL-13122,alphanumeric,62.0°C , 65.0°C
134859,AVERAGE WEIGHT OF 10 CONTAINERS,BENZATHINE-PENICILLIN-INJECTION-(KWALITY)-IP-13138,na,NULL,506.7 ± 10%
134874,MELTING POINT,BENZETHONIUM-CHLORIDE-USP-13139,alphanumeric,158°, 163°
39755,Distillation range,BENZYL-ALCOHOL--NABL-4419,na,NULL,None Distills below 200?C and not less than 94% distills between 202?C adn 205?C
135036,DISTILLATION RANGE,BENZYL-ALCOHOL-(KABI)-IP-13155,na,NULL,NONE DISTILLS BELOW 200?C AND NOT LESS THAN 94% DISTILLS BETWEEN 202?C AND 205?C
135049,FREEZING POINT,BENZYL-BENZOATE-BP-13157,alphanumeric,NLT,17.0°
135040,CONGEALING TEMPERATURE,BENZYL-BENZOATE-IP-13156,alphanumeric,NLT,17°C
135059,CONGEALING TEMPERATURE,BENZYL-BENZOATE-USP-13158,alphanumeric,NLT,18.0°
135139,<p>SPECIFIC OPTICAL ROTATION</p>,BENZYL-PENICILLIN-SODIUM-STERILE-(OSPER)-IP-13167,alphanumeric,285°, +310°
135148,AVERAGE WEIGHT OF 10 CONTAINERS,BENZYLPENICILLIN-INJECTION-(KWALITY)-BP-13168,na,NULL,3.021 GM ± 10%
59431,<p>Agaric Acid (ppm)</p>,BESAN-FSSAI-5596,na,NULL,MAX. 10 µg/Kg
135262,<p>SPECIFIC OPTICAL ROTATION</p>,"BETADEX-(MACLEODS,-BOMBAY)-BP-13178",alphanumeric,+160.0°, +164.0°
135243,<p>SPECIFIC OPTICAL ROTATION</p>,BETADEX-BP-13177,alphanumeric,+160.0°, +164.0°
135308,HARDNESS,BETAHISTINE-TABLET-(ISHAANA)-IP-13181,alphanumeric,NLT,4.0 KG/CM²
135309,THICKNESS,BETAHISTINE-TABLET-(ISHAANA)-IP-13181,na,NULL,2.90 ± 0.2 MM
135340,<p>SPECIFIC OPTICAL ROTATION</p>,BETAMETHASONE-DIPROPIONATE-IP-13184,alphanumeric,+63.0°, +70.0°
135327,<p>SPECIFIC OPTICAL ROTATION</p>,BETAMETHASONE-IP-13183,alphanumeric,+114? , +122°
135385,<p>SPECIFIC OPTICAL ROTATION</p>,BETAMETHASONE-SODIUM-PHOSPHATE-IP-13189,alphanumeric,+98°, +104°
135532,FREEZING POINT,BHT-(BUTYLATED-HYDROXY-TOLUENE)-IP-13199,alphanumeric,69°, 70°
60205,Bifenthrin content (% by mass) [Cl.3.3(i)],BIFENTHRIN-10-%-WP(IS:15939-2011)-FSSAI-5669,na,NULL,10 ± 5% of the declared value
135682,<p>SPECIFIC OPTICAL ROTATION</p>,BIHAR-AMPICILLIN-INJECTION-IP-[DRUG-CODE-D0036]-IP-13215,alphanumeric,+258°, +287°
136052,2-CUFF,BIHAR-LATEX-SURGICAL-GLOVES-STERILE-7-1/2-INCH-[DRUG-CODE-S0046]-GENERAL-13245,na,NULL,5.0 mm ± 3.0 mm
136398,WEIGHT OF OINTMENT ON DRESSING IN GM,BIODONE-DRESSING-(10-CM²X-10-CM²-GENERAL-13277,na,NULL,3.0  ± 0.50 GM
136397,WEIGHT/UNIT AREA OF FABRIC,BIODONE-DRESSING-(10-CM²X-10-CM²-GENERAL-13277,alphanumeric,150, 210 G/M²
136418,<p>SPECIFIC OPTICAL ROTATION</p>,BIOTIN-(ARISTO)-BP-13280,alphanumeric,+89° TO+93°,NULL
136428,<p>SPECIFIC OPTICAL ROTATION</p>,BIOTIN-(CHARAK)-BP-13281,alphanumeric,+89° TO+93°,NULL
136448,<p>SPECIFIC OPTICAL ROTATION</p>,BIOTIN-PURE-(VOWCARE)-USP-13283,alphanumeric,+89° TO+93°,NULL
136439,<p>SPECIFIC OPTICAL ROTATION</p>,BIOTIN-PURE-USP-13282,alphanumeric,+89° TO+93°,NULL
136469,TOTAL ZINC,BIPHASIC-ISOPHANE-INSULIN-INJECTION-[1631][U]-IP-13285,na,NULL,NMT 40 µG/100 IU OF INSULIN
136539,<p>AVERAGE WEIGHT</p>,BISACODYL-TABLET-(KWALITY)-IP-13291,na,NULL,88 MG ± 7.5%
136550,HARDNESS,BISACODYL-TABLET-(KWALITY)-IP-13291,na,NULL,NLT 2.5 KG/CM²
136551,MICROBIAL LIMIT (TVC),BISACODYL-TABLET-(KWALITY)-IP-13291,na,NULL,NMT 10³ CFU/GM
136559,HARDNESS IN KG/CM²,BISACODYL-TABLET-(LA-CHEMICO)-IP-13292,na,NULL,NLT 4 KG/CM²
136586,<p>SPECIFIC OPTICAL ROTATION</p>,BISOPROLOL-FUMARATE-USP-13295,na,NULL,-2.0° TO +2.0°
136628,HARDNESS,BLACK-COHOSH-TABLET-(RICHFEEL)-GENERAL-13300,alphanumeric,NLT,2.0 KG/CM²
136730,<p>3-MASS GM/M2</p>,BLEACHED-GAUZE-CLOTH----(DRUG-CODE-R156)-GENERAL-13312,na,NULL,57 ± 5 GM/M²
136744,<p>3-MASS GM/M2</p>,BLEACHED-GAUZE-CLOTH----(DRUG-CODE-R157)-GENERAL-13313,na,NULL,57± 5 GM/M²
66356,<p>Flash Point (&deg;C)</p>,BLENDED-EDIBLE-VEGETABLE-OIL-NABL-6071,na,NULL,NLT 250°C
136908,LENGTH,BOLIN-NP-BOLUS-GENERAL-13327,na,NULL,39.50 MM ±0.02 MM
136910,THICKNESS,BOLIN-NP-BOLUS-GENERAL-13327,na,NULL,7.8 MM ±0.02 MM
136909,WIDTH,BOLIN-NP-BOLUS-GENERAL-13327,na,NULL,13.00 MM ±0.02 MM
137175,DIAMETER,BROMOCRIPTINE-MESYLATE-TABLET-(KWALITY)-IP-13352,na,NULL,8.11 MM ±3%
137187,MICROBIAL LIMITS,BROMOCRIPTINE-MESYLATE-TABLET-(KWALITY)-IP-13352,na,NULL,NMT 10³ CFU/GM
137176,THICKNESS,BROMOCRIPTINE-MESYLATE-TABLET-(KWALITY)-IP-13352,na,NULL,3.48 MM ±3%
62504,<p>Flash Point (Abel)</p>,BUTACHLOR-50%-EC-(IS:9356-1980)-FSSAI-5821,na,NULL,24.5°C
137536,FREEZING POINT,BUTYLATED-HYDROXY-TOLUENE-(SPB-LABS)-BP-13389,alphanumeric,69°C , 70°C
137514,FREEZING POINT,BUTYLATED-HYDROXY-TOLUENE-BP-13387,alphanumeric,69°C , 70°C
137981,<p>UNIFORMITY OF WEIGHT</p>,C31-DISPERSIBLE-TABLET-(ANGLO-FRENCHI)-GENERAL-13445,na,NULL,±5.0%W/W
138229,UNIFORMITY OF FILLED WEIGHT,C38+S75-INJECTION-(THEON)-GENERAL-13467,na,NULL,± 2% OF AVERAGE FILLED WEIGHT
139267,<p>SPECIFIC OPTICAL ROTATION</p>,CABERGOLINE-IP-13559,alphanumeric,-77.0°, -83.0°
139326,<p>IDENTIFICATION A</p>,CAFFEINE-ANHYDROUS-BP-13564,alphanumeric,234°C , 239°C
139550,ARSENIC,CALCIUM-ASCORBATE-USP-13581,alphanumeric,NMT,NMT-3.0 µg/gm
139553,OPTICAL ROTATION,CALCIUM-ASCORBATE-USP-13581,na,NULL,+95.0°+97.0°
139603,"-1,4-DIOXANE",CALCIUM-CARBONATE-(ARISTO)-USP-13585,na,NULL,NMT 380 µg/g
139602,CHLOROFORM,CALCIUM-CARBONATE-(ARISTO)-USP-13585,na,NULL,NMT 60µg/g
139605,TRICHLOROETHYLENE,CALCIUM-CARBONATE-(ARISTO)-USP-13585,na,NULL,NMT 80 µg/g
139601,BENZENE,CALCIUM-CARBONATE-(ARISTO)-USP-13585,na,NULL,NMT 2 µg/g
139604,<p>METHYLENE CHLORIDE</p>,CALCIUM-CARBONATE-(ARISTO)-USP-13585,na,NULL,NMT 600 µg/g
139730,<p>SPECIFIC OPTICAL ROTATION</p>,CALCIUM-D-PANTOTHENATE-IP-13597,alphanumeric,+ 25.0°, +27.5°
139881,"-1,4-DIOXANE",CALCIUM-STEARATE-(ARISTO)-USP-13613,alphanumeric,NMT,NMT 380 µg/g
139880,CHLOROFORM,CALCIUM-STEARATE-(ARISTO)-USP-13613,alphanumeric,NMT,NMT 60µg/g
139883,TRICHLOROETHYLENE,CALCIUM-STEARATE-(ARISTO)-USP-13613,alphanumeric,NMT,NMT 80 µg/g
139879,BENZENE,CALCIUM-STEARATE-(ARISTO)-USP-13613,alphanumeric,NMT,NMT 2 µg/g
139882,<p>METHYLENE CHLORIDE</p>,CALCIUM-STEARATE-(ARISTO)-USP-13613,alphanumeric,NMT,NMT 600 µg/g
140105,<p>SPECIFIC OPTICAL ROTATION</p>,CAPECITABINE-(RESIDUE)-GENERAL-13636,alphanumeric,+96.0°, +100.0°
